date,Open,High,Low,Close,Volume
2025-08-04,33.57,35.01,33.51,34.55,3475132.0
2025-08-01,34.38,34.4,32.96,32.98,8589705.0
2025-07-31,35.8,35.97,35.15,35.17,3832020.0
2025-07-30,35.36,36.09,34.62,35.43,4908073.0
2025-07-29,36.42,36.4247,34.99,35.45,5070299.0
2025-07-28,36.25,36.45,35.35,35.78,5659013.0
2025-07-25,34.95,35.09,33.95,34.32,3294187.0
2025-07-24,34.35,35.575,34.06,35.26,5182973.0
2025-07-23,34.52,34.53,33.48,33.83,4420057.0
2025-07-22,34.87,35.365,34.18,34.59,4443420.0
2025-07-21,35.75,36.405,35.08,35.24,8564859.0
2025-07-18,34.19,34.67,33.29,33.52,7751263.0
2025-07-17,32.26,32.6,31.7123,32.21,7733665.0
2025-07-16,29.93,31.91,29.86,31.9,8561844.0
2025-07-15,28.59,29.21,27.97,28.68,5523137.0
2025-07-14,28.75,28.94,28.12,28.29,4907770.0
2025-07-11,28.27,28.405,27.7,28.37,4271209.0
2025-07-10,26.31,26.8,26.01,26.58,4485949.0
2025-07-09,25.1,26.36,24.78,26.1,4049635.0
2025-07-08,24.31,24.77,24.11,24.61,2217911.0
2025-07-07,24.11,24.21,23.69,23.98,1797486.0
2025-07-03,24.45,24.86,24.2,24.26,1242110.0
2025-07-02,23.05,24.59,23.01,24.56,3260847.0
2025-07-01,23.02,23.1354,22.62,22.65,1965881.0
2025-06-30,23.31,23.74,22.94,23.72,1695164.0
2025-06-27,22.84,23.08,22.5,22.74,1213586.0
2025-06-26,22.99,23.16,22.71,22.96,1354690.0
2025-06-25,23.01,23.04,22.53,22.91,1507768.0
2025-06-24,22.77,23.38,22.66,22.95,1974081.0
2025-06-23,21.2,21.92,20.62,21.81,4277921.0
2025-06-20,24.06,24.13,22.32,22.75,4287206.0
2025-06-18,23.26,23.93,23.24,23.5,1342800.0
2025-06-17,24.12,24.2001,23.12,23.83,1785059.0
2025-06-16,24.63,25.18,24.6,25.08,1615409.0
2025-06-13,23.98,24.3612,23.61,23.82,2561894.0
2025-06-12,25.82,26.14,25.35,25.38,1850776.0
2025-06-11,26.54,27.1393,26.2664,26.52,2584557.0
2025-06-10,26.0,26.46,25.37,26.15,2489358.0
2025-06-09,23.93,24.42,23.6607,24.33,1453378.0
2025-06-06,23.4,23.85,23.39,23.42,1304860.0
2025-06-05,24.81,24.81,23.63,23.83,2612797.0
2025-06-04,24.66,25.26,24.45,24.73,1539323.0
2025-06-03,24.73,25.03,24.55,24.77,1543701.0
2025-06-02,23.55,24.175,23.53,23.87,1050089.0
2025-05-30,24.46,24.66,23.9,24.24,1846265.0
2025-05-29,25.33,25.33,24.72,24.99,2073529.0
2025-05-28,25.2,25.34,24.64,24.66,1239888.0
2025-05-27,25.16,25.58,24.84,25.34,1870856.0
2025-05-23,24.15,24.43,24.02,24.15,1608234.0
2025-05-22,25.0,25.26,24.75,24.84,2616379.0
2025-05-21,23.82,24.65,23.105,23.67,2663762.0
2025-05-20,23.42,23.67,23.04,23.59,1212971.0
2025-05-19,22.65,23.99,22.59,23.74,2754479.0
2025-05-16,24.49,24.66,24.23,24.44,1101813.0
2025-05-15,24.13,24.53,23.3451,23.84,2584863.0
2025-05-14,24.61,24.74,24.0,24.54,2539976.0
2025-05-13,23.96,25.81,23.81,25.35,5186715.0
2025-05-12,24.09,24.2601,22.7,23.17,4130681.0
2025-05-09,22.12,22.51,21.435,21.98,3302581.0
2025-05-08,18.56,20.13,18.5,19.95,3950861.0
2025-05-07,17.18,17.285,16.85,16.9,1010460.0
2025-05-06,16.58,16.925,16.495,16.8,1147072.0
2025-05-05,16.99,17.215,16.9001,17.12,803391.0
2025-05-02,17.31,17.63,17.243,17.34,1069902.0
2025-05-01,17.46,17.66,17.18,17.38,2066993.0
2025-04-30,16.7,16.88,16.32,16.83,1134704.0
2025-04-29,17.1,17.26,17.04,17.18,1303067.0
2025-04-28,16.96,16.99,16.44,16.94,1575579.0
2025-04-25,16.67,17.23,16.5702,17.0,1936219.0
2025-04-24,16.56,16.76,16.45,16.63,1267142.0
2025-04-23,17.12,17.29,16.6001,16.86,3177754.0
2025-04-22,15.35,16.29,15.335,16.04,2868812.0
2025-04-21,15.32,15.46,14.73,14.83,1081884.0
2025-04-17,15.02,15.22,14.72,14.9,646426.0
2025-04-16,14.83,15.18,14.49,14.96,1058161.0
2025-04-15,15.44,15.63,15.04,15.14,756261.0
2025-04-14,15.74,15.91,15.22,15.43,1390377.0
2025-04-11,14.68,14.965,14.52,14.75,1099036.0
2025-04-10,14.96,14.98,13.86,14.24,2258823.0
2025-04-09,13.72,15.75,13.72,15.44,5881498.0
2025-04-08,14.9,14.93,13.685,13.77,2510669.0
2025-04-07,14.17,15.39,14.005,14.52,4285683.0
2025-04-04,16.75,17.21,16.68,17.05,1774283.0
2025-04-03,16.7,16.9399,16.49,16.82,1438003.0
2025-04-02,17.52,18.08,17.48,18.02,1070202.0
2025-04-01,17.64,18.15,17.3507,17.99,1174306.0
2025-03-31,17.19,17.46,16.93,17.22,1296397.0
2025-03-28,17.87,17.901,17.54,17.64,1207883.0
2025-03-27,18.93,19.085,18.72,18.88,512633.0
2025-03-26,19.36,19.37,18.66,18.83,1668237.0
2025-03-25,19.54,19.63,19.345,19.56,826219.0
2025-03-24,19.55,19.81,19.49,19.69,1252299.0
2025-03-21,18.33,18.6299,18.235,18.59,623628.0
2025-03-20,18.73,18.93,18.3801,18.58,1320485.0
2025-03-19,18.92,19.42,18.83,19.15,2363113.0
2025-03-18,17.88,17.96,17.625,17.93,2032795.0
2025-03-17,17.87,18.39,17.785,18.3,909869.0
2025-03-14,17.89,18.325,17.73,18.21,1149893.0
2025-03-13,17.9,17.9,17.14,17.4,1786966.0
2025-03-12,17.95,18.01,17.23,17.68,2012358.0
2025-03-11,18.08,18.48,17.34,18.36,1974627.0
2025-03-10,19.92,19.94,17.051,17.6,2527202.0
2025-03-07,20.59,21.26,20.16,20.31,2171935.0
2025-03-06,21.22,21.44,20.51,20.75,1071616.0
2025-03-05,20.74,21.085,20.3701,21.02,999746.0
2025-03-04,19.46,20.67,18.79,20.16,2376412.0
2025-03-03,22.26,22.335,19.76,20.03,2541982.0
2025-02-28,20.38,21.24,20.15,20.92,1734749.0
2025-02-27,22.08,22.169,21.09,21.21,1003681.0
2025-02-26,22.42,23.14,21.225,22.0,2049350.0
2025-02-25,22.72,23.65,22.21,23.46,3008562.0
2025-02-24,25.17,25.33,24.7,24.89,793078.0
2025-02-21,26.6,26.7,24.7001,24.78,2161418.0
2025-02-20,26.04,26.1,25.51,25.92,852957.0
2025-02-19,25.63,25.73,25.2214,25.66,553301.0
2025-02-18,25.62,25.65,24.55,24.79,1439168.0
2025-02-14,25.44,26.32,25.3662,25.74,1150072.0
2025-02-13,24.93,25.1299,24.63,25.02,1140020.0
2025-02-12,24.22,25.4,24.0,25.26,1168525.0
2025-02-11,25.04,25.193,24.3306,24.49,972417.0
2025-02-10,25.04,25.38,24.88,25.3,812397.0
2025-02-07,26.31,26.37,24.3,24.39,1937235.0
2025-02-06,26.08,26.18,25.21,25.65,1355409.0
2025-02-05,26.58,26.58,25.575,26.06,1384834.0
2025-02-04,26.41,27.0588,25.67,25.77,3720124.0
2025-02-03,24.18,26.1696,24.06,25.54,5449362.0
2025-01-31,31.72,32.43,30.9651,31.26,1159482.0
2025-01-30,30.67,30.97,30.44,30.49,779367.0
2025-01-29,29.35,29.99,28.8,29.59,1106572.0
2025-01-28,29.87,30.27,29.14,29.15,668823.0
2025-01-27,29.26,29.71,28.69,29.65,2135640.0
2025-01-24,32.06,32.28,31.37,31.4,1350645.0
2025-01-23,30.49,31.0825,30.11,30.62,2762542.0
2025-01-22,31.16,31.22,30.51,30.7,1018354.0
2025-01-21,31.41,31.75,30.77,31.23,1561887.0
2025-01-17,32.3,33.28,32.1,33.19,1075870.0
2025-01-16,31.52,31.72,30.76,31.45,1650252.0
2025-01-15,30.98,32.76,30.9,32.38,1263051.0
2025-01-14,30.28,30.5,29.88,30.37,600026.0
2025-01-13,28.67,29.23,27.45,29.15,1776104.0
2025-01-10,30.82,31.33,30.1,30.74,2579358.0
2025-01-08,31.63,31.89,30.19,30.93,2579646.0
2025-01-07,34.27,34.33,31.64,31.95,6169048.0
2025-01-06,34.27,35.325,34.23,34.75,2803686.0
2025-01-03,33.12,34.23,33.07,33.97,2178021.0
2025-01-02,32.61,33.01,32.29,32.56,1306233.0
2024-12-31,32.35,32.52,31.36,31.49,1455140.0
2024-12-30,31.51,32.2,31.06,32.01,2166973.0
2024-12-27,31.93,31.93,31.11,31.42,2009102.0
2024-12-26,31.68,31.71,31.165,31.37,3026487.0
2024-12-24,32.48,33.17,32.37,33.04,1799750.0
2024-12-23,31.58,32.15,30.77,32.05,2773754.0
2024-12-20,31.33,32.95,31.13,32.42,4444847.0
2024-12-19,34.74,34.9,31.36,31.83,10859633.0
2024-12-18,36.45,36.84,34.23,34.79,5783258.0
2024-12-17,37.85,37.98,36.92,37.09,4141394.0
2024-12-16,36.89,38.775,36.87,38.17,4356110.0
2024-12-13,37.07,37.46,36.59,36.98,1030161.0
2024-12-12,37.5,37.6399,36.36,36.67,1117580.0
2024-12-11,35.16,36.2693,35.1,36.19,1330385.0
2024-12-10,35.1,35.22,33.18,34.43,2466704.0
2024-12-09,36.64,37.2325,35.11,35.3,2675614.0
2024-12-06,37.01,38.67,36.85,38.26,2170559.0
2024-12-05,37.02,37.41,35.69,36.1,2364894.0
2024-12-04,35.08,36.78,35.02,36.7,2103539.0
2024-12-03,33.5,34.07,33.0101,34.06,1308464.0
2024-12-02,34.27,34.77,33.525,34.12,1441332.0
2024-11-29,34.0,34.46,33.78,33.84,802280.0
2024-11-27,32.91,34.34,32.85,34.28,2030330.0
2024-11-26,31.31,31.7147,30.7,31.29,1128427.0
2024-11-25,32.96,33.46,31.5601,33.07,1973770.0
2024-11-22,31.06,31.4199,30.8043,31.05,2020485.0
2024-11-21,31.66,31.9979,30.61,31.64,7464303.0
2024-11-20,29.51,29.6,28.5899,28.93,1724058.0
2024-11-19,2.93,2.97,2.91,2.92,20834836.0
2024-11-18,2.93,3.02,2.89,2.98,34370816.0
2024-11-15,2.89,2.92,2.84,2.91,45621254.0
2024-11-14,3.01,3.02,2.8803,2.92,31672810.0
2024-11-13,3.06,3.15,2.95,2.99,60861120.0
2024-11-12,3.07,3.12,3.03,3.11,45758049.0
2024-11-11,2.99,3.19,2.97,3.17,66969664.0
2024-11-08,2.79,2.82,2.73,2.77,28558481.0
2024-11-07,2.65,2.75,2.62,2.74,34365905.0
2024-11-06,2.48,2.55,2.46,2.55,22070262.0
2024-11-05,2.31,2.3399,2.26,2.28,14331523.0
2024-11-04,2.32,2.32,2.26,2.28,16795258.0
2024-11-01,2.38,2.44,2.34,2.37,25071469.0
2024-10-31,2.48,2.48,2.36,2.36,36134834.0
2024-10-30,2.54,2.57,2.5,2.5,26710154.0
2024-10-29,2.47,2.53,2.46,2.47,23474581.0
2024-10-28,2.39,2.39,2.34,2.36,21102020.0
2024-10-25,2.4,2.42,2.31,2.32,15668699.0
2024-10-24,2.39,2.4,2.36,2.4,10930790.0
2024-10-23,2.42,2.44,2.31,2.36,9761814.0
2024-10-22,2.48,2.49,2.45,2.48,9894896.0
2024-10-21,2.54,2.54,2.5,2.52,10173824.0
2024-10-18,2.47,2.53,2.46,2.5,13511289.0
2024-10-17,2.45,2.48,2.424,2.44,15049491.0
2024-10-16,2.47,2.495,2.4401,2.47,11246068.0
2024-10-15,2.46,2.535,2.39,2.45,17297957.0
2024-10-14,2.4,2.4992,2.4,2.47,15134262.0
2024-10-11,2.28,2.33,2.28,2.32,8936471.0
2024-10-10,2.26,2.2799,2.19,2.23,14196712.0
2024-10-09,2.29,2.33,2.27,2.27,15085641.0
2024-10-08,2.29,2.32,2.2601,2.3,11663645.0
2024-10-07,2.33,2.38,2.28,2.31,13054311.0
2024-10-04,2.24,2.3,2.2101,2.29,9605683.0
2024-10-03,2.21,2.23,2.18,2.22,13312645.0
2024-10-02,2.29,2.3398,2.23,2.24,17362527.0
2024-10-01,2.46,2.466,2.29,2.35,18955803.0
2024-09-30,2.49,2.49,2.42,2.44,11614406.0
2024-09-27,2.51,2.58,2.49,2.55,12997477.0
2024-09-26,2.47,2.52,2.46,2.5,13663039.0
2024-09-25,2.46,2.48,2.42,2.42,10368484.0
2024-09-24,2.49,2.51,2.44,2.5,12410648.0
2024-09-23,2.5,2.55,2.48,2.52,13972506.0
2024-09-20,2.39,2.4299,2.37,2.4,11985797.0
2024-09-19,2.3,2.35,2.28,2.33,13789202.0
2024-09-18,2.18,2.225,2.15,2.18,12062706.0
2024-09-17,2.19,2.2599,2.17,2.22,10251330.0
2024-09-16,2.18,2.18,2.135,2.14,12385567.0
2024-09-13,2.22,2.29,2.21,2.28,10951377.0
2024-09-12,2.21,2.23,2.18,2.23,9064044.0
2024-09-11,2.2,2.23,2.1403,2.2,10125801.0
2024-09-10,2.21,2.26,2.19,2.24,7999250.0
2024-09-09,2.18,2.22,2.14,2.22,9701058.0
2024-09-06,2.25,2.26,2.08,2.09,14153990.0
2024-09-05,2.25,2.2799,2.21,2.22,11084910.0
2024-09-04,2.25,2.35,2.25,2.32,12665404.0
2024-09-03,2.36,2.365,2.29,2.3,9836457.0
2024-08-30,2.37,2.4,2.29,2.36,11278155.0
2024-08-29,2.43,2.45,2.365,2.38,7335684.0
2024-08-28,2.38,2.4,2.314,2.36,13592248.0
2024-08-27,2.48,2.48,2.41,2.44,8659482.0
2024-08-26,2.59,2.59,2.52,2.53,8331835.0
2024-08-23,2.51,2.6,2.48,2.59,13716833.0
2024-08-22,2.48,2.48,2.44,2.45,7633255.0
2024-08-21,2.44,2.5,2.39,2.5,10344663.0
2024-08-20,2.48,2.5,2.41,2.46,8292925.0
2024-08-19,2.45,2.48,2.4127,2.46,7292655.0
2024-08-16,2.45,2.48,2.405,2.48,10433529.0
2024-08-15,2.51,2.52,2.38,2.41,15087505.0
2024-08-14,2.57,2.5799,2.48,2.51,13943906.0
2024-08-13,2.49,2.5766,2.48,2.55,11617727.0
2024-08-12,2.53,2.5699,2.4435,2.51,16511002.0
2024-08-09,2.49,2.51,2.404,2.445,15556239.0
2024-08-08,2.33,2.4599,2.2747,2.43,19167592.0
2024-08-07,2.33,2.35,2.195,2.21,23363957.0
2024-08-06,2.32,2.4099,2.28,2.35,19635016.0
2024-08-05,2.09,2.38,2.06,2.27,41084063.0
2024-08-02,2.96,3.0,2.81,2.83,22080150.0
2024-08-01,3.0,3.01,2.9,2.94,17839568.0
2024-07-31,3.14,3.16,3.0525,3.08,23857815.0
2024-07-30,3.16,3.1659,3.07,3.08,15546251.0
2024-07-29,3.19,3.19,3.07,3.12,33673442.0
2024-07-26,3.04,3.1,3.03,3.08,36664526.0
2024-07-25,2.98,3.0,2.92,2.94,32041550.0
2024-07-24,3.27,3.27,3.16,3.17,31096152.0
2024-07-23,3.3,3.31,3.19,3.27,20130151.0
